Departamento,Variable1,Variable2,pendiente,intercepto,pearson
 Cesar,PorcentajeNo,Desplazamiento,-0.000116292,0.523932643,-0.411704531
 Antioquia,PorcentajeSi,PorcentajeOscarIvanZuluagaPrimeraVuelta,-0.581937209,0.642478655,-0.582323617
 Caldas,PorcentajeSi,TotalSegundaVuelta,5.91E-07,0.376711951,0.297539562
 Bogota  D.C.,PorcentajeSi,ParticipacionSegundaVuelta,0.221477674,0.452364531,0
 Huila,PorcentajeSi,ParticipacionPrimeraVuelta,-0.885973228,0.743248779,-0.601108915
 Meta,PorcentajeSi,Amenaza,0.007204379,0.322331138,0.520995429
 Vaupes,Abstencion,PorcentajeOscarIvanZuluagaSegundaVuelta,-0.356921344,0.847206217,-0.641988183
 Putumayo,PorcentajeSi,AfectadoPorElConflictoPares2,0.029630159,0.609342857,0.398366648
 Sucre,PorcentajeSi,ParticipacionSegundaVuelta,-0.026430183,0.668528066,-0.0121576
 Bogota  D.C.,PorcentajeSi,IndiceRuralidad2014,0.001177675,0.560797527,0
 Valle  del  Cauca,PorcentajeSi,PorcentajeOscarIvanZuluagaSegundaVuelta,-0.39401128,0.642677828,-0.770864179
 Magdalena,Abstencion,AfectadoPorElConflictoPares2,0,0.760993333,0
 Bogota  D.C.,PorcentajeSi,PorcentajeOscarIvanZuluagaPrimeraVuelta,0.115586716,0.535867945,0
 Boyaca,Abstencion,HectareasDeCoca,-0.000216711,0.615733909,-0.001660981
 Boyaca,PorcentajeSi,Secuestro,-0.009016836,0.501695432,-0.094582141
 La  Guajira,PorcentajeNo,IndiceRuralidad2014,0.042153502,0.353422583,0.111206889
 Huila,PorcentajeSi,VinculacionNinosAdolescentes,0.128360397,0.351455782,0.46911875
 Atlantico,PorcentajeSi,Homicidio,-0.002674285,0.703989577,-0.078091661
 Boyaca,PorcentajeNo,Secuestro,0.009016836,0.498304568,0.094582141
 Meta,PorcentajeNo,MinasAntipersonal,-0.027323516,0.63488562,-0.678407594
 Sucre,PorcentajeNo,Secuestro,-0.017475867,0.364986186,-0.191326968
 Boyaca,PorcentajeNo,MinasAntipersonal,0.009968326,0.499890986,0.142363552
 Tolima,PorcentajeSi,PorcentajeOscarIvanZuluagaSegundaVuelta,-0.423492939,0.676826269,-0.725668384
 Risaralda,Abstencion,AfectadoPorElConflictoPares2,0.057525,0.618625,0.485759693
 Bogota  D.C.,Abstencion,Secuestro,0.016083525,0.536117494,0
 Magdalena,Abstencion,Homicidio,0.001640888,0.722757919,0.373822642
 Choco,PorcentajeNo,TotalSegundaVuelta,4.27E-06,0.164724999,0.200402044
 Bolivar,Abstencion,TotalSegundaVuelta,4.11E-07,0.718519599,0.176410851
 Atlantico,PorcentajeSi,ParticipacionSegundaVuelta,0.619389366,0.39941044,0.524025176
 Caqueta,PorcentajeSi,AbandonoODespojoDeTierras,0,0.4937875,0
 Cordoba,PorcentajeSi,PorcentajeOscarIvanZuluagaPrimeraVuelta,-0.571453217,0.806683174,-0.498534916
 Caqueta,PorcentajeSi,MinasAntipersonal,0.036101105,0.426977893,0.586081845
 Huila,PorcentajeNo,Homicidio,-0.002493859,0.670764098,-0.339017918
 Atlantico,Abstencion,Secuestro,-0.164033888,0.773091319,-0.285497843
 Valle  del  Cauca,Abstencion,Secuestro,0.018528882,0.641566043,0.212011635
 Norte  de  Santander,Abstencion,TotalSegundaVuelta,-3.71E-07,0.638118915,-0.185675365
 Cesar,Abstencion,Amenaza,-9.37E-05,0.674084565,-0.032751499
 Caldas,PorcentajeSi,AbandonoODespojoDeTierras,0.051632653,0.3843,0.080664885
 Guainia,Abstencion,Desplazamiento,5.85E-06,0.81978226,0.007089976
 Norte  de  Santander,Abstencion,AfectadoPorElConflictoPares2,0.031122505,0.613475372,0.460784091
 Valle  del  Cauca,PorcentajeNo,ActosTerroristas,-0.006503904,0.538932493,-0.102872546
 Casanare,PorcentajeSi,AfectadoPorElConflictoPares2,0.027190333,0.353282333,0.116932837
 Casanare,PorcentajeSi,Homicidio,0.005727151,0.130625627,0.38461086
 Guaviare,PorcentajeNo,CensoElectoral2016,8.77E-06,0.21528567,0.835143831
 Guaviare,PorcentajeNo,Secuestro,-0.029197041,0.524257232,-0.874475514
 Cauca,Abstencion,TotalPrimeraVuelta,-6.81E-07,0.624341463,-0.144675713
 Tolima,Abstencion,MinasAntipersonal,0.002280639,0.635949188,0.24541791
 Huila,Abstencion,ActosTerroristas,0.005164967,0.605758628,0.157804411
 Amazonas,Abstencion,AfectadoPorElConflictoPares2,0,0.737827273,0
 Norte  de  Santander,PorcentajeSi,AbandonoODespojoDeTierras,0.039537283,0.412324285,0.148394457
 Boyaca,Abstencion,MinasAntipersonal,-0.000754622,0.615892968,-0.017738099
 Amazonas,Abstencion,MinasAntipersonal,0.065720227,0.733107366,0.295392496
 Quindio,PorcentajeNo,HectareasDeCoca,0,0.622208333,0
 Cauca,PorcentajeNo,MinasAntipersonal,-0.000645204,0.275719692,-0.006072188
 Norte  de  Santander,Abstencion,AbandonoODespojoDeTierras,0.011590477,0.631656383,0.113983385
 Boyaca,Abstencion,ParticipacionPrimeraVuelta,-0.747074451,0.941792206,-0.71670651
 Atlantico,PorcentajeNo,VotosParaSenado2014,4.48E-07,0.29299863,0.430718648
 Cauca,PorcentajeSi,PorcentajeOscarIvanZuluagaPrimeraVuelta,-0.930633891,0.854119919,-0.711206545
 Magdalena,PorcentajeSi,TotalPrimeraVuelta,-2.59E-06,0.718900495,-0.349078051
 Narino,Abstencion,ParticipacionPrimeraVuelta,-0.66213943,0.868132172,-0.787766131
 Vichada,Abstencion,MinasAntipersonal,1.354911147,0.571170275,0.984270869
 Vaupes,PorcentajeSi,Secuestro,-0.015321172,0.878763572,-0.37069306
 Antioquia,PorcentajeNo,PorcentajeOscarIvanZuluagaSegundaVuelta,0.581573244,0.248424642,0.732849929
 Quindio,PorcentajeNo,TotalPrimeraVuelta,-3.95E-07,0.62887205,-0.26380188
 Casanare,PorcentajeSi,VotosParaSenado2014,-7.64E-06,0.414532101,-0.272610425
 Vichada,PorcentajeNo,TotalPrimeraVuelta,-1.36E-05,0.558839568,-0.108644832
 Norte  de  Santander,PorcentajeNo,HectareasDeCoca,-0.000135489,0.619734805,-0.56517131
 Santander,PorcentajeNo,TotalPrimeraVuelta,4.23E-07,0.51848257,0.090082222
 Antioquia,Abstencion,PorcentajeOscarIvanZuluagaSegundaVuelta,-0.045521762,0.720311271,-0.087732438
 Boyaca,PorcentajeSi,Desplazamiento,-0.000258627,0.508899061,-0.198602678
 Atlantico,PorcentajeSi,PorcentajeOscarIvanZuluagaSegundaVuelta,-0.588300779,0.792101347,-0.526510203
 Cordoba,Abstencion,AbandonoODespojoDeTierras,0.001489063,0.681230412,0.15995224
 Cauca,PorcentajeNo,AfectadoPorElConflictoPares2,-0.030695652,0.321314907,-0.266712834
 Putumayo,PorcentajeSi,PorcentajeOscarIvanZuluagaPrimeraVuelta,-0.892212658,0.802635616,-0.725058927
 Vichada,Abstencion,AbandonoODespojoDeTierras,0,0.689725,0
 Choco,Abstencion,PorcentajeOscarIvanZuluagaSegundaVuelta,-0.009096678,0.679212175,-0.028323902
 Antioquia,PorcentajeNo,ParticipacionSegundaVuelta,0.454168227,0.385180107,0.275417027
 Putumayo,PorcentajeNo,VotosParaSenado2014,1.59E-06,0.34194014,0.047919723
 Cordoba,Abstencion,PorcentajeOscarIvanZuluagaSegundaVuelta,0.19527874,0.624426321,0.367654552
 Vichada,PorcentajeNo,CensoElectoral2016,-1.63E-05,0.709798228,-0.662925093
 Arauca,Abstencion,ParticipacionSegundaVuelta,-0.253280043,0.78327698,-0.266045792
 Guainia,PorcentajeNo,ActosTerroristas,0.383871962,0.174397322,0.54964852
 Amazonas,PorcentajeSi,ActosTerroristas,0.035962397,0.796186653,0.154876231
 Cauca,PorcentajeSi,ParticipacionPrimeraVuelta,-0.380536206,0.865837739,-0.306512164
 Huila,PorcentajeNo,VotosParaSenado2014,-5.59E-07,0.630742894,-0.081346224
 Bogota  D.C.,PorcentajeSi,CensoElectoral2016,1.01E-07,1.82E-14,0
 Caldas,Abstencion,AbandonoODespojoDeTierras,0.045321821,0.634492308,0.086444877
 Cordoba,Abstencion,IndiceRuralidad2014,0.036563966,0.6619418,0.142101524
 Meta,PorcentajeNo,TotalSegundaVuelta,1.05E-06,0.54538939,0.197943539
 Norte  de  Santander,PorcentajeNo,AbandonoODespojoDeTierras,-0.039538134,0.587678365,-0.148398776
 Santander,Abstencion,HectareasDeAmapola,0,0.606618391,0
 Vaupes,PorcentajeSi,ParticipacionSegundaVuelta,-0.394351336,0.950200126,-0.503731871
 Norte  de  Santander,Abstencion,Amenaza,0.006106472,0.600636925,0.426503161
 Cordoba,PorcentajeNo,Homicidio,0.001605368,0.310423999,0.254359267
 Choco,PorcentajeSi,Amenaza,0.000440408,0.805625429,0.169054949
 Cundinamarca,PorcentajeSi,TotalPrimeraVuelta,-2.83E-08,0.434261508,-0.004006755
 Choco,PorcentajeNo,PorcentajeOscarIvanZuluagaPrimeraVuelta,0.84413998,0.022019648,0.547713543
 Cordoba,Abstencion,TotalSegundaVuelta,-5.73E-08,0.684412866,-0.028535751
 Casanare,PorcentajeNo,ParticipacionSegundaVuelta,1.137831576,-0.015814269,0.293806351
 Caqueta,PorcentajeNo,PorcentajeOscarIvanZuluagaSegundaVuelta,1.040073075,-0.09569079,0.862520643
 Risaralda,PorcentajeSi,HectareasDeAmapola,0,0.433278571,0
 Quindio,PorcentajeNo,MinasAntipersonal,0.013206336,0.619545056,0.164088324
 Cordoba,Abstencion,VotosParaSenado2014,-6.73E-08,0.684557221,-0.030521492
 Caqueta,PorcentajeNo,HectareasDeCoca,-0.00024022,0.622005422,-0.78594116
 La  Guajira,Abstencion,ParticipacionPrimeraVuelta,-0.945683361,1.026214614,-0.970669772
 Arauca,Abstencion,Secuestro,0.006632625,0.646432438,0.381506851
 Boyaca,Abstencion,Secuestro,-0.010593441,0.620263447,-0.182891188
 Guaviare,PorcentajeNo,VotosParaSenado2014,2.66E-05,0.209667296,0.904225282
 Narino,Abstencion,Homicidio,0.000173135,0.616909321,0.047774609
 Cesar,Abstencion,ParticipacionPrimeraVuelta,-0.837110465,0.979591161,-0.735170128
 Valle  del  Cauca,PorcentajeNo,AbandonoODespojoDeTierras,0.004615744,0.525723597,0.194722218
"Archipielago  de  San  Andres, Providencia y Santa Catalina",PorcentajeNo,IndiceRuralidad2014,-1.019633943,0.753616606,-1
 Bolivar,PorcentajeSi,TotalPrimeraVuelta,-1.03E-06,0.674137208,-0.193231768
 Santander,PorcentajeSi,HectareasDeCoca,-0.021641782,0.483299071,-0.160064275
 Tolima,PorcentajeNo,ParticipacionPrimeraVuelta,0.68287551,0.313583043,0.324540536
 Cauca,Abstencion,Homicidio,0.000332844,0.60719458,0.130208711
 Risaralda,PorcentajeSi,CensoElectoral2016,5.11E-08,0.430502538,0.066154218
 Boyaca,PorcentajeSi,HectareasDeCoca,-0.028537384,0.499617262,-0.132891609
" Archipielago  de  San  Andres, Providencia y Santa Catalina",Abstencion,CensoElectoral2016,2.72E-06,0.687892293,1
 Guainia,Abstencion,MinasAntipersonal,0,0.820588889,0
 Atlantico,PorcentajeNo,Amenaza,-0.000893423,0.308167159,-0.012901587
 Choco,PorcentajeNo,AbandonoODespojoDeTierras,0,0.17836,0
 Caqueta,PorcentajeNo,MinasAntipersonal,-0.036101105,0.573022107,-0.586081845
 Meta,Abstencion,TotalPrimeraVuelta,-4.51E-07,0.577612987,-0.189995422
 Guaviare,PorcentajeSi,Desplazamiento,0.000491112,0.281627785,0.5710081
 Bogota  D.C.,PorcentajeNo,VinculacionNinosAdolescentes,0.004391561,0.439156084,0
 Sucre,Abstencion,VinculacionNinosAdolescentes,0.026254261,0.65333561,0.148944428
 Putumayo,PorcentajeNo,TotalPrimeraVuelta,-1.39E-06,0.356588431,-0.044248262
 Tolima,PorcentajeSi,MinasAntipersonal,0.001538965,0.414644646,0.068501584
 Norte  de  Santander,Abstencion,ParticipacionSegundaVuelta,-0.756799105,0.990948233,-0.84137573
 Norte  de  Santander,Abstencion,PorcentajeOscarIvanZuluagaPrimeraVuelta,-0.008444166,0.636759424,-0.018840411
 Cundinamarca,PorcentajeNo,ParticipacionPrimeraVuelta,0.424764541,0.372127521,0.39504116
 Magdalena,Abstencion,Amenaza,3.38E-05,0.760400269,0.008055128
 Choco,PorcentajeSi,Homicidio,-0.001416308,0.854691904,-0.35775058
 Norte  de  Santander,Abstencion,IndiceRuralidad2014,0.015889076,0.624225537,0.057409401
 Tolima,PorcentajeNo,Amenaza,-0.000165423,0.589244264,-0.097660797
 Meta,PorcentajeSi,ActosTerroristas,0.003960245,0.423518526,0.182260458
 Magdalena,Abstencion,Secuestro,0.074224113,0.724326622,0.443978632
 Sucre,PorcentajeNo,ParticipacionPrimeraVuelta,-0.334424901,0.481712424,-0.152905545
 Cundinamarca,Abstencion,HectareasDeAmapola,0,0.589792241,0
 Vichada,PorcentajeSi,AfectadoPorElConflictoPares2,0.0118,0.4553,0.091242281
 Huila,PorcentajeNo,IndiceRuralidad2014,0.148565511,0.54395598,0.331866775
 La  Guajira,Abstencion,IndiceRuralidad2014,0.270736544,0.611948272,0.552381207
 Norte  de  Santander,Abstencion,CensoElectoral2016,-1.43E-07,0.637714586,-0.165668259
 Huila,PorcentajeSi,PorcentajeOscarIvanZuluagaSegundaVuelta,-0.592375688,0.822694863,-0.746993837
 Valle  del  Cauca,Abstencion,VotosParaSenado2014,-6.89E-08,0.650656618,-0.120861099
 Vaupes,PorcentajeNo,VinculacionNinosAdolescentes,0.014125597,0.135798105,0.247033302
 Atlantico,PorcentajeNo,ActosTerroristas,-0.07195997,0.312721337,-0.13905009
 Valle  del  Cauca,PorcentajeSi,Amenaza,-0.001353916,0.483942234,-0.206198381
 Tolima,Abstencion,VotosParaSenado2014,-9.01E-07,0.644981087,-0.439254741
 Huila,PorcentajeNo,Desplazamiento,-0.000190865,0.657675219,-0.353762023
 Cordoba,PorcentajeSi,HectareasDeCoca,5.76E-05,0.664229338,0.101241475
 Cordoba,PorcentajeNo,ActosTerroristas,-0.004472582,0.339859224,-0.224200464
 Sucre,PorcentajeSi,AfectadoPorElConflictoPares2,0,0.654069231,0
 Casanare,Abstencion,AbandonoODespojoDeTierras,0,0.507410526,0
 Narino,PorcentajeNo,Amenaza,-0.002848006,0.355471662,-0.368596368
 Guaviare,PorcentajeNo,ParticipacionPrimeraVuelta,1.778018739,-0.223712381,0.848490844
 Choco,PorcentajeSi,HectareasDeCoca,-0.000144688,0.828820359,-0.109799286
 Arauca,PorcentajeNo,Secuestro,0.045248867,0.36535314,0.387207135
 Antioquia,Abstencion,Desplazamiento,4.36E-06,0.69209562,0.035933386
 Casanare,Abstencion,Desplazamiento,-0.000139141,0.544600645,-0.515545176
 Risaralda,PorcentajeSi,ParticipacionPrimeraVuelta,-1.310734914,1.011331393,-0.658766388
 Antioquia,PorcentajeNo,Secuestro,0.000413004,0.577419374,0.037336458
 Bolivar,Abstencion,ParticipacionPrimeraVuelta,-0.823790097,0.985671907,-0.615123603
 Cesar,PorcentajeSi,Secuestro,-0.001959177,0.543675878,-0.072875451
 Cauca,PorcentajeSi,VinculacionNinosAdolescentes,0.017149968,0.717452085,0.094840547
 Caqueta,Abstencion,PorcentajeOscarIvanZuluagaSegundaVuelta,-0.169349458,0.813910898,-0.440440373
 Atlantico,PorcentajeSi,ParticipacionPrimeraVuelta,0.833373341,0.45121232,0.56216324
 Vichada,PorcentajeSi,ParticipacionPrimeraVuelta,-1.742406848,1.028791509,-0.917780094
 Atlantico,PorcentajeSi,TotalSegundaVuelta,-4.44E-07,0.706068078,-0.424672508
 Risaralda,PorcentajeNo,PorcentajeOscarIvanZuluagaPrimeraVuelta,0.563654584,0.367972796,0.606527979
 Meta,PorcentajeSi,TotalSegundaVuelta,-1.05E-06,0.45461061,-0.197943539
 Guaviare,Abstencion,VotosParaSenado2014,-1.32E-05,0.731193951,-0.857246819
 Narino,Abstencion,AbandonoODespojoDeTierras,0.000871659,0.620143235,0.042461357
" Archipielago  de  San  Andres, Providencia y Santa Catalina",PorcentajeSi,IndiceRuralidad2014,1.019633943,0.246383394,1
 Magdalena,Abstencion,ParticipacionSegundaVuelta,-0.555768408,1.025683596,-0.43970478
 Santander,PorcentajeSi,IndiceRuralidad2014,0.115135216,0.403933685,0.224793483
 Bogota  D.C.,Abstencion,Desplazamiento,0.250171159,0.171350109,0
 Antioquia,Abstencion,AbandonoODespojoDeTierras,-0.002091837,0.695217972,-0.060279337
 Cundinamarca,PorcentajeNo,PorcentajeOscarIvanZuluagaSegundaVuelta,0.400948308,0.323454934,0.558420139
 Putumayo,Abstencion,TotalSegundaVuelta,4.18E-06,0.62307411,0.316485687
 Guaviare,PorcentajeSi,ActosTerroristas,0.034016431,0.458612274,0.88329561
 Santander,PorcentajeSi,VotosParaSenado2014,-6.00E-07,0.482064378,-0.093108315
 Narino,Abstencion,Desplazamiento,4.47E-05,0.610678769,0.183339375
 Guainia,Abstencion,VinculacionNinosAdolescentes,-0.012966804,0.82684177,-0.057110234
 Guaviare,Abstencion,TotalPrimeraVuelta,-1.31E-05,0.727165251,-0.809929021
 Vaupes,Abstencion,PorcentajeOscarIvanZuluagaPrimeraVuelta,-0.34012605,0.811974019,-0.64469218
 Guainia,PorcentajeSi,HectareasDeAmapola,0,0.649233333,0
 Santander,Abstencion,Desplazamiento,3.04E-05,0.602944547,0.071893692
 Casanare,PorcentajeNo,CensoElectoral2016,2.56E-06,0.586903661,0.267469476
 Magdalena,PorcentajeSi,ActosTerroristas,0.065118891,0.651816851,0.259058757
 Risaralda,PorcentajeSi,Desplazamiento,0.000257234,0.386817851,0.79306952
 La  Guajira,PorcentajeNo,VinculacionNinosAdolescentes,0.19268646,0.364652044,0.162177033
 Guaviare,Abstencion,VinculacionNinosAdolescentes,0.083162333,0.513790496,0.825168811
 Cesar,PorcentajeSi,MinasAntipersonal,0.075706259,0.527882684,0.098853237
 Atlantico,Abstencion,ActosTerroristas,0.016847449,0.763337127,0.055553891
 Atlantico,PorcentajeNo,IndiceRuralidad2014,-0.03892537,0.314397006,-0.08312617
 Vaupes,PorcentajeNo,CensoElectoral2016,8.70E-06,0.115821056,0.700349784
 Casanare,PorcentajeNo,AfectadoPorElConflictoPares2,-0.027190333,0.646717667,-0.116932837
 Guainia,PorcentajeSi,Homicidio,0.011478236,0.640114513,0.042176297
 Bogota  D.C.,Abstencion,ParticipacionSegundaVuelta,0.211920328,0.432843807,0
 Casanare,PorcentajeSi,MinasAntipersonal,0.036386641,0.309107887,0.810564883
 Magdalena,Abstencion,HectareasDeAmapola,0,0.760993333,0
 Choco,PorcentajeNo,Secuestro,0.001579756,0.174978268,0.04651058
 Norte  de  Santander,PorcentajeSi,HectareasDeAmapola,0,0.4193125,0
 Magdalena,PorcentajeSi,CensoElectoral2016,-8.44E-07,0.721114787,-0.378678585
 La  Guajira,Abstencion,CensoElectoral2016,1.73E-06,0.671805201,0.663963321
 Valle  del  Cauca,PorcentajeNo,Desplazamiento,-2.27E-05,0.533691877,-0.03765149
 Antioquia,PorcentajeNo,ActosTerroristas,-0.003092023,0.589643704,-0.137265684
 Cordoba,PorcentajeSi,MinasAntipersonal,0.026001658,0.662435052,0.173093271
 Guaviare,PorcentajeNo,PorcentajeOscarIvanZuluagaPrimeraVuelta,1.015447839,0.092092699,0.980436799
 Quindio,Abstencion,HectareasDeAmapola,0,0.599116667,0
 Magdalena,PorcentajeSi,Secuestro,-0.045028669,0.717777496,-0.143697175
 Huila,PorcentajeNo,HectareasDeAmapola,-0.031066132,0.634803466,-0.366066017
 Caldas,PorcentajeSi,HectareasDeAmapola,0,0.385237037,0
 Caldas,PorcentajeSi,IndiceRuralidad2014,0.023864837,0.373497217,0.085544629
 Boyaca,PorcentajeSi,VinculacionNinosAdolescentes,-0.021806959,0.50174307,-0.12250625
 Tolima,Abstencion,Amenaza,0.000177302,0.632439852,0.253054992
 Caqueta,Abstencion,AbandonoODespojoDeTierras,0,0.71590625,0
 Valle  del  Cauca,Abstencion,AbandonoODespojoDeTierras,0.000120347,0.649012569,0.012805117
 Narino,PorcentajeNo,HectareasDeAmapola,0.001428478,0.31356698,0.171515263
 Vichada,PorcentajeNo,TotalSegundaVuelta,-1.59E-05,0.573574402,-0.147677581
 Caldas,PorcentajeNo,ParticipacionSegundaVuelta,-0.172457159,0.702747412,-0.091305597
 Quindio,PorcentajeNo,Secuestro,0.023009232,0.615497307,0.220487444
 Valle  del  Cauca,PorcentajeNo,ParticipacionPrimeraVuelta,0.851175807,0.209349148,0.287391404
 Bogota  D.C.,PorcentajeSi,Desplazamiento,0.26145357,0.179077788,0
 Bolivar,PorcentajeNo,ParticipacionSegundaVuelta,-0.337513071,0.483124837,-0.156676863
 Vaupes,PorcentajeNo,PorcentajeOscarIvanZuluagaSegundaVuelta,0.634289333,0.000310216,0.805018497
 Putumayo,PorcentajeNo,AfectadoPorElConflictoPares2,-0.029630159,0.390657143,-0.398366648
 Arauca,PorcentajeNo,ParticipacionSegundaVuelta,-1.559588126,1.220198789,-0.243716043
 Boyaca,Abstencion,IndiceRuralidad2014,0.124606205,0.53140194,0.372168458
 Cundinamarca,Abstencion,PorcentajeOscarIvanZuluagaSegundaVuelta,0.128735356,0.511936206,0.233073274
 Quindio,PorcentajeNo,AbandonoODespojoDeTierras,0,0.622208333,0
 Valle  del  Cauca,PorcentajeNo,Amenaza,0.001353916,0.516057766,0.206198381
 Quindio,Abstencion,VinculacionNinosAdolescentes,-0.006542105,0.599700004,-0.045861579
 Guainia,PorcentajeNo,IndiceRuralidad2014,-0.419486216,0.629386216,-0.486854962
 Putumayo,PorcentajeSi,VinculacionNinosAdolescentes,0.000389979,0.65001105,0.003691622
 Choco,PorcentajeSi,ActosTerroristas,0.001344547,0.808106241,0.303648599
 Cordoba,Abstencion,Secuestro,0.004904307,0.682134091,0.036761267
 Magdalena,PorcentajeNo,AbandonoODespojoDeTierras,0.007450871,0.299253541,0.109603116
 Casanare,Abstencion,Secuestro,-0.002871284,0.520480912,-0.517458524
 Casanare,Abstencion,TotalPrimeraVuelta,3.99E-09,0.507384214,0.000689397
 Huila,PorcentajeSi,TotalPrimeraVuelta,3.75E-07,0.370016593,0.070353351
 Valle  del  Cauca,PorcentajeSi,TotalSegundaVuelta,2.05E-07,0.462627952,0.224915
 Bogota  D.C.,PorcentajeNo,MinasAntipersonal,0,0.4392,0
 Guainia,PorcentajeNo,ParticipacionPrimeraVuelta,0.211044194,0.19352833,0.149218417
 Antioquia,Abstencion,CensoElectoral2016,-1.48E-07,0.699790719,-0.244159639
 Bolivar,Abstencion,PorcentajeOscarIvanZuluagaSegundaVuelta,-0.002688286,0.724318768,-0.004761888
 Quindio,PorcentajeNo,ParticipacionPrimeraVuelta,-0.319817934,0.770417294,-0.138313735
 Amazonas,PorcentajeSi,Secuestro,0.005000998,0.803654072,0.038603882
 Guainia,Abstencion,Amenaza,0.001789176,0.813605138,0.052871814
 Antioquia,PorcentajeSi,ParticipacionSegundaVuelta,-0.454168227,0.614819893,-0.275417027
 Narino,Abstencion,MinasAntipersonal,0.004497178,0.618126457,0.089148899
 Magdalena,PorcentajeNo,ParticipacionSegundaVuelta,-1.00309001,0.782198315,-0.423398492
 Bogota  D.C.,PorcentajeNo,Homicidio,0.188953129,0.331496717,0
 Antioquia,PorcentajeSi,VinculacionNinosAdolescentes,0.071381898,0.396865556,0.319896271
 Atlantico,Abstencion,PorcentajeOscarIvanZuluagaPrimeraVuelta,0.247099047,0.725116846,0.370432524
 Guainia,PorcentajeSi,ParticipacionPrimeraVuelta,-0.374919209,0.731178175,-0.166892964
 Cundinamarca,PorcentajeSi,PorcentajeOscarIvanZuluagaSegundaVuelta,-0.400948308,0.676545066,-0.558420139
 Meta,PorcentajeSi,MinasAntipersonal,0.027323516,0.36511438,0.678407594
 Valle  del  Cauca,Abstencion,ActosTerroristas,0.000330591,0.648732471,0.013188318
 Cesar,PorcentajeSi,TotalPrimeraVuelta,-9.55E-07,0.546444577,-0.160809997
 La  Guajira,Abstencion,TotalSegundaVuelta,2.08E-06,0.71342831,0.217328972
 Caldas,PorcentajeSi,TotalPrimeraVuelta,6.02E-07,0.377151464,0.301728629
 Cesar,PorcentajeSi,Amenaza,0.001563527,0.507374766,0.309625327
 Meta,Abstencion,VotosParaSenado2014,-5.56E-07,0.577456384,-0.183265065
 Vichada,PorcentajeNo,ActosTerroristas,-0.037846875,0.590626765,-0.217704113
 Amazonas,PorcentajeNo,Amenaza,-0.003480638,0.222251331,-0.258972661
 Narino,PorcentajeSi,CensoElectoral2016,-3.32E-07,0.685022008,-0.08873178
 Bogota  D.C.,Abstencion,ParticipacionPrimeraVuelta,0.210178762,0.43506264,0
 Cordoba,Abstencion,TotalPrimeraVuelta,-8.92E-08,0.684516042,-0.031978198
 Meta,PorcentajeSi,VotosParaSenado2014,-1.48E-06,0.455044805,-0.20822955
 Putumayo,Abstencion,ParticipacionSegundaVuelta,-0.753078704,0.993107797,-0.888781471
 Vichada,PorcentajeSi,TotalPrimeraVuelta,1.36E-05,0.441160432,0.108644832
 Cundinamarca,Abstencion,Homicidio,0.001481551,0.571482311,0.371006539
 Bolivar,PorcentajeNo,TotalSegundaVuelta,7.06E-07,0.326178392,0.188072349
 Guainia,PorcentajeNo,AfectadoPorElConflictoPares2,0,0.239655556,0
 Santander,Abstencion,PorcentajeOscarIvanZuluagaSegundaVuelta,-0.037310713,0.626713255,-0.085183687
 Vichada,PorcentajeNo,AfectadoPorElConflictoPares2,-0.0118,0.5447,-0.091242281
 Amazonas,Abstencion,PorcentajeOscarIvanZuluagaSegundaVuelta,-0.11590215,0.782431688,-0.322292882
 Bogota  D.C.,PorcentajeSi,HectareasDeCoca,0,0.5608,0
 Valle  del  Cauca,Abstencion,Homicidio,0.000554958,0.633819689,0.267674777
 Cauca,PorcentajeNo,PorcentajeOscarIvanZuluagaSegundaVuelta,0.613417661,0.146799863,0.708943071
 Cordoba,PorcentajeSi,TotalSegundaVuelta,-1.90E-06,0.704337548,-0.51359034
 Cesar,PorcentajeSi,IndiceRuralidad2014,0.081227301,0.505047187,0.173295038
 Arauca,Abstencion,HectareasDeAmapola,0,0.664814286,0
 Norte  de  Santander,PorcentajeNo,TotalSegundaVuelta,5.02E-07,0.574724641,0.095772504
 Tolima,PorcentajeNo,AbandonoODespojoDeTierras,0.00238365,0.58212704,0.08256888
 Quindio,Abstencion,ActosTerroristas,0.00111824,0.597577223,0.10349078
 Guainia,Abstencion,ParticipacionSegundaVuelta,-0.722229244,1.010856171,-0.705428238
 Bolivar,PorcentajeNo,PorcentajeOscarIvanZuluagaSegundaVuelta,0.581917424,0.109603407,0.639046479
 Choco,Abstencion,VotosParaSenado2014,-1.68E-06,0.681124123,-0.12378614
 Cauca,PorcentajeNo,TotalPrimeraVuelta,2.30E-06,0.256508955,0.316961215
 Norte  de  Santander,PorcentajeSi,CensoElectoral2016,-2.02E-07,0.424971885,-0.089244123
 Cundinamarca,PorcentajeSi,Amenaza,0.001179623,0.427090955,0.168585105
 Boyaca,Abstencion,AfectadoPorElConflictoPares2,-0.00565658,0.616226198,-0.035293237
 Risaralda,PorcentajeNo,Amenaza,-0.003041373,0.615591943,-0.736899812
 Amazonas,PorcentajeSi,Homicidio,0.00094359,0.802281222,0.050845137
 Sucre,Abstencion,ParticipacionPrimeraVuelta,-0.737083286,0.955359461,-0.65430995
 La  Guajira,PorcentajeSi,VinculacionNinosAdolescentes,-0.19268646,0.635347956,-0.162177033
 Antioquia,PorcentajeNo,TotalPrimeraVuelta,1.46E-07,0.576956535,0.072667683
